question,answer1,answer2,answer3,answer4
What is AI?,Artificial Intelligence,Machine Learning,Deep Learning,Neural Networks
Define Machine Learning.,A subset of AI,A method to learn from data,Supervised and Unsupervised,All of these
What is a Neural Network?,A computational model,Mimics the brain,A set of algorithms,All of these
Explain Deep Learning.,Subset of ML,Uses neural networks,Processes data hierarchically,Requires large data
What is Python?,Programming language,Interpreted language,Used in AI,All of these
Define Supervised Learning.,Labeled data,Input-output pairs,Training models,Classification tasks
What is Unsupervised Learning?,No labeled data,Clustering data,Finds hidden patterns,Dimensionality reduction
Advantages of AI?,Automation,Efficiency,Scalability,Innovation
Challenges in AI?,Ethics,Bias,Cost,Complexity
What is Data Science?,Data analysis,Data engineering,Statistics,AI and ML
What is AI?,Artificial Intelligence,Machine Learning,Deep Learning,Neural Networks
How does a chatbot work?,Through natural language processing,Using AI algorithms,By pattern matching,All of these
What is machine learning?,A type of artificial intelligence,Learning from data,Making predictions,Automated data analysis
What is Python?,A programming language,A high-level language,An interpreted language,All of the above
Why use Python for AI?,Easy to learn,Rich libraries,Great community support,All mentioned reasons
What is deep learning?,Advanced machine learning,Neural network based,Complex pattern recognition,All of these
What is NLP?,Natural Language Processing,Text analysis,Speech recognition,Language understanding
What are neural networks?,Brain-inspired systems,Learning algorithms,Pattern recognition systems,All mentioned
How to start coding?,Learn basic syntax,Practice regularly,Build small projects,Follow tutorials
What is debugging?,Finding code errors,Fixing problems,Testing solutions,All of these
